EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;2559380;2071070;463045;258934;0;8419;1;48754400;0;23783700;304;55000;10,783;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7379;401;267245;0;61649;72679100;58804500;13149200;7932760;0;239076;29;2155430000;0;484945000;8816;1595000;293,867;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5978;365;57303;0;35;63068600;46204000;10434200;4601510;0;231870;30;442895000;0;270515;8160;1350000;280,783;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7472;299;267201;0;5353;72225500;57265400;13067100;7242730;0;237584;31;2047830000;0;41025400;9424;1705000;285,766;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4076;99;86539;0;39018;45071900;40429800;7141680;4884080;0;158704;16;858380000;0;387020000;4544;720000;191,583;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;142;1;0;0;0;1004780;824736;81312;74226;0;5808;1;0;0;0;173;14000;7,483;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4785;64;1831;0;0;30770800;27791300;3118900;2511840;0;174240;30;10634400;0;0;5298;537000;227,3;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3652;44;1047;0;0;15880200;14158800;1620590;1278330;0;124064;32;4059220;0;0;4096;418000;170,32;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7749;267;101793;0;32300;56637700;52050000;9370220;5585190;0;208227;31;683743000;0;216959000;8432;1395000;255,565;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;15874;550;363027;0;74407;116965000;104356000;20247900;12267700;0;407588;62;2386540000;0;489152000;17792;3080000;520,099;0
